"TOA5","5964","CR1000","5964","CR1000.Std.32.05","CPU:cbFLX.CR1","33758","CambridgeFAST"
"TIMESTAMP","RECORD","U","V","W","Ts","DiagSAT","CO2","H2O","Tin","Tout","Press","CO22","H2O2"
"TS","RN","m/s","m/s","m/s","deg C","","mmolm-3","mmolm-3","deg C","deg C","kPa","mmolm-3","mmolm-3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-13 21:17:55.15",2314466,-1.0145,-5.2945,0.655,-0.293396,15,17.90976,49.71914,3.821637,3.239043,97.88508,19.12722,223.6936
"2023-05-13 21:17:55.2",2314467,-1.81225,-5.99775,0.2205,-0.3774414,16,17.90297,49.63976,3.825527,3.232552,97.88264,19.13543,225.9918
"2023-05-13 21:17:55.25",2314468,-1.1005,-5.94075,0.65825,-0.1648254,17,17.90742,49.51225,3.832012,3.229956,97.89472,19.14364,223.9124
"2023-05-13 21:17:55.3",2314469,-2.65275,-4.64075,0.5855,-0.1318665,18,17.91254,49.67599,3.825527,3.207887,97.88484,19.12722,223.5841
"2023-05-13 21:17:55.35",2314470,-2.91225,-4.57525,0.9162501,-0.2060242,19,17.91524,49.67482,3.813855,3.216974,97.88326,19.16826,222.9275
"2023-05-13 21:17:55.4",2314471,-0.8742501,-5.00725,0.39975,-0.2736206,20,17.91133,49.91084,3.821637,3.229956,97.88508,19.16006,222.1614
"2023-05-13 21:17:55.45",2314472,-1.3855,-5.481,0.7212501,-0.2439575,21,17.91142,49.80868,3.825527,3.205291,97.89314,19.12722,214.2818
"2023-05-13 21:17:55.5",2314473,-1.62725,-5.149,0.7075,-0.1895752,22,17.90843,49.80533,3.833309,3.245533,97.89777,19.13543,217.0178
"2023-05-13 21:17:55.55",2314474,-0.9907501,-5.36875,0.7302501,-0.3329163,23,17.90493,49.89069,3.817746,3.236446,97.90082,19.14364,222.3803
"2023-05-13 21:17:55.6",2314475,-1.91975,-5.44875,0.6915,-0.2950439,24,17.90876,49.71453,3.793104,3.223465,97.89899,19.16006,223.0369
"2023-05-13 21:17:55.65",2314476,-1.96775,-5.4605,1.10525,-0.2521973,25,17.91391,49.64762,3.815152,3.229956,97.88105,19.17647,220.8482
"2023-05-13 21:17:55.7",2314477,-1.85875,-5.656,0.84675,-0.2521973,26,17.9148,49.71126,3.815152,3.240341,97.89619,19.14364,215.4857
"2023-05-13 21:17:55.75",2314478,-1.11825,-6.15925,0.5325,-0.3098755,27,17.90405,49.61853,3.828121,3.235148,97.8885,19.13543,220.9576
"2023-05-13 21:17:55.8",2314479,-1.97325,-5.987,0.54925,-0.3082275,28,17.90829,49.8038,3.812558,3.21308,97.9024,19.13543,216.3612
"2023-05-13 21:17:55.85",2314480,-1.69725,-5.54075,0.9077501,-0.3246765,29,17.90248,49.81485,3.817746,3.235148,97.88789,19.1026,219.4254
"2023-05-13 21:17:55.9",2314481,-1.3235,-5.64825,0.95825,-0.2587891,30,17.90408,49.78059,3.809964,3.220869,97.89033,19.21751,222.2709
"2023-05-13 21:17:55.95",2314482,-1.648,-5.889,0.83425,-0.2521973,31,17.90461,49.75815,3.821637,3.229956,97.90606,19.16826,216.9084
"2023-05-13 21:17:56",2314483,-0.8322501,-6.36125,0.8222501,-0.3444824,32,17.90702,49.614,3.815152,3.255918,97.89497,19.13543,218.3311
"2023-05-13 21:17:56.05",2314484,-2.51275,-5.683,0.9637501,-0.2192078,33,17.90429,49.71111,3.829418,3.246831,97.89253,19.11901,219.0971
"2023-05-13 21:17:56.1",2314485,-1.234,-6.1885,0.77525,-0.4120178,34,17.90965,49.63527,3.822933,3.228658,97.89558,19.16826,220.6293
